Portfolio,Agency,Tier,Project name,Project description,DCA 2026,DCA 2025,DCA 2024,Delivery status,Total budget (millions),Digital budget (millions),Project start date,Project end date
Home Affairs,Australian Federal Police,Tier 3,Investigation Management Solution (IMS) Program,"The IMS provides the Australian Federal Police (AFP) with the ability to manage investigative processes and related investigative information in a single system, enabling a consistent approach to the management of investigative information across the AFP.",,,,Closed,54.5,54.5,April 2020,June 2025
Home Affairs,Australian Transaction Reports and Analysis Centre (AUSTRAC),Tier 2,Anti-Money Laundering and Counter-Terrorism Financing Reform - AUSTRAC,"The Australian Government is reforming Australia’s Anti Money Laundering and Counter Terrorism Financing (AML/CTF) regime to combat illicit financing and meet international standards, extending regulation to Tranche 2 entities. AUSTRAC will implement these changes, increasing the regulated population from 17,000 to over 100,000. This expansion will profoundly impact AUSTRAC’s regulatory activities, requiring a redesign of its approach.",High,Medium-Low,,Active,159.4,53.1,July 2024,June 2026
Home Affairs,Department of Home Affairs,Tier 2,Digital Trade Accelerator Projects (DTAP) ,The DTAP will improve cross-border trade by enhancing border and biosecurity risk assessments and government-to-business trade data sharing.,High,Medium-High,,Active,29.9,29.9,July 2024,June 2026
Home Affairs,Department of Home Affairs,Tier 2,Streamlining the Cargo Intervention Model (SCIM) – First Pass Business Case,"This project will design, test and evaluate new cargo intervention models for cross-border trade. A trial will be conducted at a selected high-volume seaport.",Medium,High,,Active,25.2,25.2,February 2024,June 2027
Home Affairs,Department of Home Affairs,Tier 2,Visa Modernisation/Digitisation – Sustaining Visa Processing Capability (SVPC),"This investment will improve existing visa systems in Home Affairs. Enhancements will be designed for future reuse and deliver broad operational benefits. This investment is an interim solution to sustain and enhance the existing ICT visa systems to improve visa service delivery and increase Australia’s attractiveness as a destination for travellers, temporary residents and migrants.",High,Medium-High,Not reported,Active,24.2,24.2,July 2023,June 2026
Home Affairs,Department of Home Affairs,Tier 3,Australian Border Force (ABF) NEXUS,"This project involves the development and trial of ABF Nexus application in the air cargo domain and the development of the business case for full roll out of the application across all operational domains Australia wide. Once rolled out, the application will be used nationally to record cargo examination information.",,,,Active,6.7,6.7,January 2024,June 2027
Home Affairs,Department of Home Affairs,Tier 3,Paperless Trading – Digital Verification Platform (DVP),This project involved the implementation of a DVP for priority trade documentation that will simplify trade for Australian exporters with trusted digital trade documents.,,,,Closed,9.1,9.1,January 2022,February 2025
Home Affairs,Department of Home Affairs,Tier 3,Risk Assessment Tobacco,This project involves the uplift of vaping and illicit tobacco risk targeting and threat detection.,,,,Active,10.1,10.1,April 2024,June 2027
Home Affairs,National Emergency Management Agency,Tier 3,Disaster Program Management System (DPMS),"The DPMS will accurately track Disaster Recovery Funding Arrangements (DRFA) programs at the community level and generate improved insights into program management. It will improve stability, automation and end-to-end processes, and create a robust foundation for improvements that will provide appropriate oversight of delivery of Commonwealth-funded programs.",,,,Paused,6.8,6.8,July 2024,TBC
"Industry, Science and Resources","Department of Industry, Science and Resources",Tier 2,Critical Minerals Production Tax Incentive (CMPTI),The CMPTI is consistent with the Critical Minerals Strategy and a key component of the Future Made in Australia Package. The project aims to establish a customer portal and associated back-end Customer Relationship Management (CRM) to facilitate the submission and assessment of CMPTI applications and subsequent reporting and compliance processes.,Medium-High,,,Active,28.3,22.1,July 2024,June 2027
"Industry, Science and Resources","Department of Industry, Science and Resources",Tier 2,National Measurement Institute (NMI) Digital Transformation Program,"The program will address the NMI’s most urgent ICT needs, such as cyber security risks as well as critical service delivery and operational issues. The program comprises 4 key ICT work streams, which aim to remediate known vulnerabilities that pose risks to operations, uplift systems to streamline processes, enhance service delivery and improve data security.",High,High,,Active,40.2,40.2,July 2024,June 2026
"Industry, Science and Resources","Department of Industry, Science and Resources",Tier 3,An Enduring Commonwealth Function for Radioactive Waste Management,"This project represents the intention of the Commonwealth to ensure safe and secure management of Australia’s radioactive waste to protect people and the environment for generations to come. The digital project, which is currently paused, aims to set up the systems required for Australian Radioactive Waste Agency to deliver an enduring function for radioactive waste management in Australia.",,,,Paused (Digital Budget),275.2,25.0,July 2023,June 2028
"Industry, Science and Resources","Department of Industry, Science and Resources",Tier 3,Single Business Service,"This project will maintain the existing Single Business Service (business.gov.au and contact centre) to simplify small to medium businesses’ engagement with government. Funding will support the ongoing delivery of the business contact centre and business.gov.au including security, infrastructure and data insights capability, and ensure information and tools are up to date, so the service remains useful and usable for the Australian business community.",,,,Active,16.4,16.3,July 2023,Ongoing - no end date
"Industry, Science and Resources",Geoscience Australia,Tier 3,An Australia–United States Partnership in Landsat Next,"The Australia–United States partnership in Landsat Next builds on a nearly 50-year partnership, enabling collaboration to scale up over the decades to come. The project will provide Australia with assured access to data from the Landsat Next satellites, an enhanced Alice Springs Ground Station capability, next-generation data processing, quality assurance, integrity monitoring and distribution capabilities, and provide satellite-based enhanced earth imaging products to users.",,,,Active,207.4,26.7,July 2024,June 2029
"Industry, Science and Resources",Questacon,Tier 3,Questacon Digital Futures Project,"Currently, Questacon’s software, hardware and network infrastructure do not provide a consistent, accessible customer experience. Current systems also do not meet core requirements for seamless digital transactions for users, efficient operations and secure transactions. This project is addressing these issues through targeted investment and uplift in key areas.",,,,Active,7.3,6.3,April 2023,June 2027
"Infrastructure, Transport, Regional Development, Communications, Sport and the Arts",Australian Communications and Media Authority,Tier 3,Fighting SMS Scams,"This project is enabling the Australian Communications and Media Authority (ACMA) to develop, operate and maintain an SMS ID registry to help prevent scammers from impersonating brands and entities in texts, using message headers (such as myGov), and to create a trusted communications channel.",,,,Active,10.9,3.2,October 2024,July 2026
"Infrastructure, Transport, Regional Development, Communications, Sport and the Arts",Australian Communications and Media Authority,Tier 3,Spectrum Management,The digital spectrum management system will include a range of new and enhanced digital and ICT capabilities to support improved spectrum management.,,,,Active,22.7,20.9,October 2022,May 2027
"Infrastructure, Transport, Regional Development, Communications, Sport and the Arts","Department of Infrastructure, Transport, Regional Development, Communications, Sport and the Arts",Tier 2,New Vehicle Efficiency Standard (NVES) Regulator and IT Build,"The establishment of a NVES for light vehicles will deliver more fuel-efficient cars for Australians and support the government’s commitment to achieve net zero by 2050. This investment is for the development of an effective ICT environment in which to manage the regulatory obligations around the NVES, such as data capture from vehicle suppliers/importers, reporting, facilitation of compliance and audit functions, and the establishment and maintenance of a NVES credit trading scheme.",Medium,Medium-High,,Active,79.2,23.8,July 2024,January 2026
"Infrastructure, Transport, Regional Development, Communications, Sport and the Arts","Department of Infrastructure, Transport, Regional Development, Communications, Sport and the Arts",Tier 2,Reporting and Program Management (RPM) System ,"The RPM project is improving the administration of grant payments to states and territories for land transport infrastructure projects. Following recommendations from the Australian National Audit Office, the department is developing a new system, which has been designed to address evolving business needs and transition the current legacy system to a more scalable and flexible system. The RPM Project Objectives are: (1) Develop a new system to automate, simplify and streamline business processes; (2) Provide a single source of data for all grant process stages that is validated and accurate, easy to access and analyse; (3) Ensure the new system is intuitive, easy to use and flexible, and can be extended to meet future needs; and (4) Migrate data from the existing data sources into a consolidated source of truth for infrastructure investment.",High,Medium-High,Medium-High,Active,30.8,14.2,July 2023,June 2026
"Infrastructure, Transport, Regional Development, Communications, Sport and the Arts",National Archives of Australia,Tier 3,Digital First (DF) Program,"The National Archives of Australia has established the DF Program to uplift its ability to manage, preserve and provide meaningful access to an increasingly digital collection of records that hold national significance.
In late 2025, the DF Program was rescoped to realign the work of the program to support implementation of the new Strategy 2025–2030: Evolving National Archives. 
The program will finish in June 2026, with additional scope relating to account and workload management to be addressed through strategy implementation.",,,,Active,25.1,20.6,July 2023,June 2026
Parliamentary Departments,Department of Parliamentary Services,Tier 2,Australian Parliamentary Technology Modernisation,This project is implementing initiatives in response to significant changes to the parliamentary operating environment and to address several critical risks that currently threaten the effective operation of the Australian Parliament.,Medium-Low,,,Active,46.3,46.3,July 2024,June 2028
Prime Minister and Cabinet,Australian Public Service Commission,Tier 3,Workforce Metrics Modernisation Program (WMMP),"The WMMP aims to stabilise the APS employment database, improving its security, usability and functionality. It will integrate APS employment data with existing Australian Bureau of Statistics data assets to enable authorised users to derive greater insights about the APS workforce.",,,,Active,7.0,7.0,July 2024,June 2026
Prime Minister and Cabinet,Department of the Prime Minister and Cabinet,Tier 2,Cyber Security Upgrades to Reduce Exposure (CURE) Program - Phase 2,The CURE program is designed to deliver a broad range of cyber security and ICT uplift initiatives for the department. The initial phase of the CURE program focused on uplifting the security posture of the department’s environment for less classified information. Phase 2 expanded the focus to also uplift the security posture of the department’s environment for more sensitive information as well as to deliver improved cyber monitoring capabilities.,Medium-High,Medium-High,Not reported,Closed,22.9,22.9,July 2024,June 2025
Social Services,Department of Social Services,Tier 2,New Disability Employment Services Reform,"This project is to support/enable the reform of Employment Services for people with disability. The New Specialist Disability Employment Program, now referred to as Inclusive Employment Australia, will be underpinned by an uplift and modernisation of the ICT system, to streamline and digitise administrative processes to support an improved user experience. The technology solution will ensure future services and policy settings are supported by a fit-for-purpose, tailored digital platform that meets the needs of all job seekers, providers and employers. This includes providing more intuitive, accessible and secure interfaces for service providers who enable individualised and flexible support for job seekers. The Department of Employment and Workplace Relations (DEWR) and Services Australia are the delivery leads and are building or enhancing the associated ICT. The majority of the ICT costs are for DEWR and Services Australia.",Medium-High,Medium-High,,Active,227.6,166.3,July 2024,September 2027
Treasury,Australian Bureau of Statistics,Tier 1,"Big Data, Timely Insights (BDTI)","BDTI Phase 2 provides a pathway off legacy ICT systems, ensuring the Australian Bureau of Statistics maximises the reuse of new tools and lessons across the organisation. The project involves rebuilding and securing the Consumer Price Index (CPI) ICT system, delivering a complete monthly measure of the CPI, building the business statistics production process in the cloud, replacing the legacy Business Register with an expanded Business Characteristics Asset in the cloud, and industrialising the Australian Bureau of Statistics cloud environment. 
At the time of preparing this report, this project is subject to the escalation protocols set out in the Assurance Framework for Digital and ICT Investments. These protocols are designed to support agencies in the timely resolution of delivery challenges.",Medium-High,Medium,Medium-High,Active,225.0,133.1,July 2023,June 2030
Treasury,Australian Bureau of Statistics,Tier 2,"2026 Census - Addressing Risks and Delivering a High Quality, Trusted Census","The Census and Statistics Act 1905 requires the Australian Bureau of Statistics to conduct a Census every 5 years. The Census provides the base for official counts of Australians and the dwellings they live in. It is a snapshot of the economic, social and cultural make-up of the nation, and tells the story of how Australia is changing over time.",Medium-High,Medium-High,,Active,726.0,164.4,January 2022,December 2027
Treasury,Australian Bureau of Statistics,Tier 2,Data Acquisition Modernisation Program,"The Australian Bureau of Statistics Data Acquisition Modernisation program aims to:
•	improve the digital experience for key surveys and allow for modern, accessible, and secure data collection processes
•	transform and modernise the Australian Bureau of Statistics contact centre to improve the experience for our customers and staff 
•	continue to modernise and replace legacy IT systems by transitioning key products and processes to a secure and scalable cloud environment.",Medium,Not reported,,Active,98.1,50.8,January 2025,June 2027
Treasury,Australian Competition and Consumer Commission,Tier 2,National Anti-Scam Centre (NASC),The NASC is a world-leading initiative to make Australia the hardest country for scammers to victimise citizens in. It will disincentivise scammers from targeting Australia and result in significantly less scam attempts.,Medium,Medium,Not reported,Active,80.5,42.7,July 2023,June 2026
Treasury,Australian Prudential Regulation Authority,Tier 2,Data and Technology Program – Governance Uplift and Investment in Data Enablement (GUIDE),"The GUIDE program is a multi-year strategic investment in data capabilities and security position of the Australian Prudential Regulation Authority (APRA), including APRA’s supervision management system. By investing in data governance, security and infrastructure, the program aims to ensure that APRA can continue to effectively fulfil its mandate, mitigate risks and support the stability and resilience of the Australian financial system.",Medium-High,Medium-High,,Active,73.2,38.0,July 2024,June 2028
Treasury,Australian Securities and Investments Commission,Tier 1,RegistryConnect Program,"The Australian Securities and Investments Commission (ASIC) RegistryConnect Program will deliver reliable, secure, trusted and efficient registry services to support the economy for the benefit of all Australians. The program’s objectives include: stabilising Registry technology to increase the security, reliability and performance of ASIC registers; modernising and uplifting the registers, user channels and interfaces; improving the quality and integrity of registry data; achieving policy and law reform; and developing enduring capabilities.",Medium-High,Medium-High,,Active,361.5,288.4,November 2023,June 2030
Treasury,Australian Securities and Investments Commission,Tier 2,Cyber Digital Transformation X (Cyber DTx),"The Cyber DTx Initiative will enhance existing cyber capabilities to secure ASIC’s existing and future networks, systems and data. The program will deliver a range of capabilities that secure ASIC regulatory systems and uplift maturity against the Cyber Essential Eight Maturity Model.",Medium,Medium-High,,Active,45.5,45.5,July 2024,June 2028
Treasury,Australian Taxation Office,Tier 1,Counter Fraud Program (Protecting against fraud and strengthening system integrity),"The Counter Fraud Program will strengthen the Australian Taxation Office’s ability to prevent, detect, contain and bring consequence to fraud and financial crime against the tax and superannuation systems.",Medium-High,Medium-High,,Active,187.0,68.4,July 2024,June 2028
Treasury,Australian Taxation Office,Tier 1,Payday Super Program,"The Payday Super project will address the systemic issue of unpaid and underpaid super guarantee by employers, by moving the obligation to pay from a quarterly to payday cycle. 
The Australian Taxation Office is building and improving data matching capabilities to match employers’ payroll data with super contribution data, providing it with near real-time visibility as to whether employers have met their obligations. The government will also redesign the super guarantee legislation in line with the move to payday super. Penalties and charges will reflect the serious nature of unpaid or underpaid super guarantee and will be recalibrated to encourage prompt rectification of non-payment with scalable consequences to deter severe or repeated non-compliance.
At the time of preparing this report, this project is subject to the escalation protocols set out in the Assurance Framework for Digital and ICT Investments. These protocols are designed to support agencies in the timely resolution of delivery challenges. The delivery confidence of the program has improved following the passage of legislation in November 2025.",Medium-Low,Low,Not reported,Active,403.3,262.2,September 2024,June 2028
Treasury,Australian Taxation Office,Tier 2,Better Targeted Superannuation Concessions (BTSC),"The BTSC measure aims to reduce tax concessions for individuals with a total superannuation balance exceeding $3 million, effective from 1 July 2026. This project is enabling the delivery of this measure with first assessments expected to be issued in the second half of 2027–28.",Medium-High,Medium-High,Not reported,Active,51.4,28.6,July 2023,September 2027
Treasury,Australian Taxation Office,Tier 2,Implementation of a Global and Domestic Minimum Tax (Pillar 2),"The Global Minimum Tax and Domestic Minimum Tax are part of a coordinated effort to address tax challenges arising from the digitalisation of the economy.
Australia, along with more than 130 other jurisdictions, agreed to a statement that set out the framework for Pillar 2 (the Global Anti-Base Erosion [GloBE] Model Rules). Implementing Pillar 2 will further strengthen Australia’s ability to address multinational tax avoidance.
The investment provides the Australian Taxation Office with the means to ensure resources are available for the ICT and data requirements to implement and administer this measure, as well as ensuring a strong ongoing compliance, advice and education focus to support the in-scope population.
At the time of preparing this report, this project is subject to the escalation protocols set out in the Assurance Framework for Digital and ICT Investments. These protocols are designed to support agencies in the timely resolution of delivery challenges.",Medium-High,Medium,Medium,Active,110.5,33.6,July 2023,June 2028
Treasury,Australian Taxation Office,Tier 2,Modernisation of Tax Administration systems (MTAS),"Improvements to Australian Taxation Office systems will reduce compliance costs on an ongoing basis for trustees, beneficiaries and tax agents – making lodgement easier and enabling the vast majority of trust tax returns to be lodged electronically. The improvements will also enable prefill of trust income for beneficiaries, in the same way salary and wages, bank interest and other types of income are currently prefilled.
Prefill capability will be enhanced by proposed legislative amendments that require trustees to report the Tax File Numbers of beneficiaries on the trust income tax return’s Statement of Distribution when they have an entitlement to trust income.",Medium,,,Active,87.9,69.7,January 2025,June 2029
Treasury,Australian Taxation Office,Tier 3,Critical Minerals Production Tax Incentive,"The Critical Minerals Production Tax Incentive were announced in the 2024–25 Budget under the measure, Future Made in Australia – Making Australia a Renewable Energy Superpower. The Australian Taxation Office is responsible for assessing tax claims under this project, including assessing payment eligibility, and processing tax payments, in consultation with Department of Industry, Science and Resources.",,,,Active,12.0,2.0,June 2024,December 2029
Treasury,Australian Taxation Office,Tier 3,Cyber Security Program (previously Building Cyber Resilience),"The program focuses on uplifting Cyber Essential Eight Maturity to Level 2, providing fit-for-purpose security services to protect the Australian Taxation Office’s digital ecosystem. The program’s outcomes will increase the Australian Taxation Office’s cyber maturity by delivering enhanced cyber capabilities and technologies.",,,,Active,136.4,136.4,January 2018,December 2026
Treasury,Australian Taxation Office,Tier 3,Hydrogen Production Tax Incentive,"The Hydrogen Production Tax Incentive were announced in the 2024–25 Budget under the measure, Future Made in Australia – Making Australia a Renewable Energy Superpower. The Australian Taxation Office is responsible for assessing tax claims under this project, including assessing payment eligibility, and processing tax payments, in consultation with the Clean Energy Regulator.",,,,Active,9.5,4.8,June 2024,December 2029
Treasury,Department of the Treasury,Tier 1,Foreign Investment Digital Transformation (FIDT) Program,"The Treasury is undertaking a transformation program to support the government’s foreign investment framework and replace the current Foreign Investment Management System. This program will deliver a fully functional end-to-end case management system, a register of foreign ownership of Australian assets, and an improved analytics capability.
On 25 June 2025, the FIDT Program was formally closed following the successful delivery of all approved program outcomes.  As part of the program closure, Treasury successfully transitioned the capabilities into ongoing sustainment and support.",Medium,Medium,Medium,Closed,70.0,68.8,September 2020,June 2025
Treasury,Department of the Treasury,Tier 3,Payment Times Reporting Scheme (PTRS) - ICT Infrastructure rebuild,"This ICT infrastructure rebuild supports improved reporting following reforms to the Payment Times Reporting Scheme. A modern portal will streamline and reduce the regulatory burden of reporting, and the public will be able to search and interrogate payment times information, including the best and worst paying large businesses using new dashboards. Increasing the transparency of large businesses’ payment performance towards their small business suppliers can incentivise fairer and faster payments to small business.",,,,Active,8.9,8.9,July 2024,June 2026
Veterans' Affairs (part of the Defence Portfolio),Department of Veterans’ Affairs,Tier 1,ObjectStar to DB2 Migration,"This project de-risks the legacy application development environment (ObjectStar) to migrate data onto a secure and modern solution (DB2). The legacy development environment contains highly complex infrastructure and a rules database, underpinning 56 applications that enable critical functions to veteran service delivery. This measure is consistent with the department’s priorities to address the claims backlog and improve the claims administration system.",Medium,Medium-High,,Active,18.2,18.2,February 2024,June 2026
Veterans' Affairs (part of the Defence Portfolio),Department of Veterans’ Affairs,Tier 2,"Replacement of the Departmental On Line Accounting and Reporting System (DOLARS), previously known as Modernisation to Reduce Wait Time to Access Support and Services (2PBC)",This project directly addresses key issues underpinning the Royal Commission’s recommendations through a range of measures to address the unacceptable level of enterprise risk associated with the legacy technology underpinning the department’s financial management capability (DOLARS) and ensure its technology and digital channel delivery functions support improved claims administration and eliminate claims backlog.,Medium-High,Medium,Not reported,Active,44.3,44.3,November 2023,June 2026
Veterans' Affairs (part of the Defence Portfolio),Department of Veterans’ Affairs,Tier 3,Digital Resilience Roadmap – Open Arms Case Management Replacement,"The project objective is to replace VERA, the current Case Management System, with a new, secure, and fit-for-purpose solution for Open Arms. This new solution will help ensure the protection of sensitive information about the department's most vulnerable clients, who are accessing mental health support. Additionally, the new system will provide opportunities for various business improvements, including the reduction of manual processing.
The solution is expected to also explore the expansion to an enterprise solution to consolidate the department’s numerous case management systems. ",,,,Active,10.8,10.8,July 2025,April 2026
